number,content,sentiment,sentiment_score,stance,stance_score
1665,完璧なポジショニングに完璧なコンビネーションを与えたらこんなことになるんだな サラーも今まで実は足枷つけてサッカーやってたと考えるととんでもないな 今はっきりみててわかるけどサラーが背負って強引に反転して突破みたいなシーンがなくなったおかげで攻撃にパワー残せてるのが一番大きいなマジで,neutral (0.694),0.694,強く反対 (0.226),0.226
1666,ゴメス長くなりそうbyスロット,neutral (0.826),0.826,中立 (0.245),0.245
1667,ゴメスは怪我しがちな上にもう27だからまぁほんとスタメンで使うってこと自体がやっぱ厳しかったか グエイクラス獲りにいくのかもしくはAシウバあたりを狙うのかかな ゴメスが怪我した以上はSB補強は後回しになる可能性高そうだなぁこれ,neutral (0.729),0.729,強く反対 (0.238),0.238
1668,ゴメスのパフォーマンスは滅茶苦茶良いし実際このやばい過密切り抜けられたのは間違いなくゴメスのおかげなんだけどね ただまぁこうなった以上はもう仕方ないしどのみちもう1枚CBいると言われてたから仕方ない,neutral (0.769),0.769,中立 (0.227),0.227
1669,やっぱリーグ後半戦は過密日程が続くから遠藤は必要だな,neutral (0.758),0.758,強く反対 (0.225),0.225
1670,フラーフェンのパフォーマンスが露骨に悪くなってきてるな まあ疲労もあるからしゃーないが,neutral (0.765),0.765,強く反対 (0.225),0.225
1671,サラーダイクフラーフェンはさすが酷使しすぎだわな,neutral (0.718),0.718,強く反対 (0.237),0.237
1672,サラーは代表ウィーク少し休めている ダイクは省エネプレーしている フラッフェンベルフは少し心配,neutral (0.686),0.686,強く反対 (0.240),0.24
1673,フラフェンが累積疲労の影響が出てきてるか 他はちょくちょく休めてるからな,neutral (0.782),0.782,強く反対 (0.221),0.221
1674,カラバオも含めてカップ戦と1月入ってからのCL2試合は遠藤スタメンにしないと1年持たなそうだな あとゴメスが長ければCBかなぁ 左SBは放出ありきだし夏だろうな,neutral (0.739),0.739,強く反対 (0.242),0.242
1675,今シーズンのサラーはアンリの24ゴール20アシストのシーズン記録更新しそうだな,neutral (0.757),0.757,強く反対 (0.247),0.247
1676,つかディアスえぐくないか 偽9番で真価発揮されすぎだろ ゴール嗅覚オフボ味方スペース作りどれも一級品だぞ,neutral (0.784),0.784,強く反対 (0.222),0.222
1677,ガクポ左でジョタが左も真ん中も出来るからヌニェス売って左効きのアタッカー欲しいよな バランス的にも,neutral (0.740),0.74,強く反対 (0.239),0.239
1678,とりあえず現状はガクポディアスサラーの並びが前線のアンサーだな,neutral (0.759),0.759,中立 (0.220),0.22
1679,次は新年6日まで試合ないのかー 選手にとってはやっと1週間休めるがせっかくの正月に試合ないのは寂しいのお,neutral (0.770),0.77,強く反対 (0.231),0.231
1680,横浜SVリートのDFハーフナー・ニッキへ獲得オファー 長身CB実現すれば10年ぶり日本復帰,neutral (0.784),0.784,強く反対 (0.228),0.228
1681,ニッキキタ(゚゚)( ゚)( ゚)( )( )(゚ )(゚ )(゚゚),neutral (0.917),0.917,強く反対 (0.241),0.241
1682,鞠がまさかのハーフナーニッキ,neutral (0.766),0.766,強く反対 (0.232),0.232
1683,ニッキってマジで言ってるのか,neutral (0.781),0.781,強く賛成 (0.228),0.228
1684,ニッキでJ1とか無理ゲーだろマリノスw,neutral (0.777),0.777,中立 (0.226),0.226
1685,ニッキ知らんうちにホルンから脱出してたのか,neutral (0.769),0.769,強く賛成 (0.219),0.219
1686,ニッキ未知数過ぎるだろw,neutral (0.744),0.744,強く反対 (0.235),0.235
1687,CB本当に品薄状態だな,neutral (0.732),0.732,中立 (0.219),0.219
1688,マリノスは獲得する選手の身長が極端すぎる,neutral (0.739),0.739,強く反対 (0.219),0.219
1689,ニッキ たしかにこれはびっくりディール,neutral (0.754),0.754,中立 (0.227),0.227
1690,CB抜けてもダメージないアピールしてたけどパニックニッキしてんじゃねえか,neutral (0.694),0.694,強く反対 (0.238),0.238
1691,遠野にハーフナーニッキってあんた,neutral (0.813),0.813,強く反対 (0.246),0.246
1692,西野の欧州コレクション(試合に出ない漬物石)始まったな,neutral (0.831),0.831,中立 (0.219),0.219
1693,とりあえず取れそうな日本人CBって感じがスゴいw,neutral (0.738),0.738,中立 (0.237),0.237
1694,ハイラインとか無理だよニッキじゃ健太なら合いそうだけど,neutral (0.808),0.808,中立 (0.223),0.223
1695,ニッキはまだ29なんだ 兄貴と結構年離れてるな,neutral (0.784),0.784,中立 (0.231),0.231
1696,ニッキてずっと2部だけどまだ20代だったんだな,neutral (0.776),0.776,強く賛成 (0.232),0.232
1697,あと2ヶ月で30歳だけど,neutral (0.735),0.735,中立 (0.229),0.229
1698,ヨーロッパでめちゃくちゃ成長してる可能性が微レ存 ちょっと前にスイスでEL出場したのは知ってたけどいつのまにかオーストリア2部まで落ちてたんだな,neutral (0.770),0.77,強く反対 (0.224),0.224
1699,ハーフナーマイクは鞠アカデミー出身だけどハーフナーニッキも鞠アカデミーなんだっけ,neutral (0.811),0.811,中立 (0.232),0.232
1700,鯱の印象しかない,neutral (0.818),0.818,強く反対 (0.235),0.235
1701,いや名古屋 その前は川崎,neutral (0.798),0.798,強く反対 (0.244),0.244
1702,HGでもないのかよ どんなリクエストなんだ,neutral (0.729),0.729,強く反対 (0.233),0.233
1703,鞠マジで大丈夫か西野って実はやべえんじゃねえのコレ 浦和でもこういう使えたら俺の手柄使えなかったら知らねっていう選手ばっか取ってなかったか,neutral (0.773),0.773,強く賛成 (0.233),0.233
1704,山村實藤ニッキで序列同列くらいだろ 上島畠中からだいぶ落ちそう,neutral (0.810),0.81,強く反対 (0.232),0.232
1705,CBの人材不足は相当だな ニッキなんて本来J2が獲りに行くレベルだろ,neutral (0.734),0.734,強く賛成 (0.237),0.237
1706,ニッキ去年が27試合7ゴール4アシストで 3年前が30試合7ゴールしてるし今どのポジションやってんのよこれ,neutral (0.797),0.797,強く反対 (0.245),0.245
1707,守備の補強だと思ってたが得点力上げるためだったか,neutral (0.700),0.7,強く反対 (0.234),0.234
1708,ニッキ大作戦は凄そうだなオーロイ思い出す,neutral (0.744),0.744,中立 (0.227),0.227
1709,山村ニッキはハイボールには異様に強そう 引きこもりサッカーならいけるか,neutral (0.772),0.772,強く反対 (0.215),0.215
1710,ニッキって鞠はマジで金ないのかよ 補強ひどすぎるわ,neutral (0.759),0.759,中立 (0.230),0.23
1711,ハーフナーニッキ 2425 オーストリア2部 14試合1ゴール イエローカード5枚(1回退場あり) 大丈夫か カード多過ぎる,neutral (0.749),0.749,強く反対 (0.235),0.235
1712,これでマリノスがひたすらクロスとロングボールを放り込む昔のイングランド式サッカーやったら面白い,neutral (0.716),0.716,強く賛成 (0.228),0.228
1713,ニッキw,neutral (0.847),0.847,強く反対 (0.250),0.25
1714,ハーフナーワロタ 大丈夫か,neutral (0.796),0.796,中立 (0.231),0.231
1715,全く予想してなかったところからきたw,neutral (0.754),0.754,強く反対 (0.253),0.253
1716,どんな状態なのかさっぱりわからんけどニッキって国籍は日本なんか,neutral (0.823),0.823,中立 (0.225),0.225
1717,若返ってもないし じゃあ畠中に年俸積んでやれよw,neutral (0.768),0.768,強く反対 (0.237),0.237
1718,予想外のところから来たな 国籍は日本だよね 日本にいた時は微妙な印象しかないけど欧州でちゃんと成長しているのかな,neutral (0.823),0.823,中立 (0.228),0.228
1719,2425(オーストリア2部) 14試合1得点 2324(オーストリア2部) 27試合7得点 2223(スイス2部) 31試合2得点 2122(スイス2部) 14試合3得点 2021(スイス2部) 32試合3得点 1920(スイス1部) 25試合4得点 1819(スイス2部) 27試合2得点 ほぼ2部だけど謎の得点力があるな,neutral (0.735),0.735,強く反対 (0.252),0.252
1720,いつもの事ながら数値的な部分はちゃんと見て取ってるんだろうけどサポ的にはどんな選手になってんのか全くわからんなw,neutral (0.741),0.741,強く反対 (0.233),0.233
1721,ハイラインやらないならでかいのは必要だなあ 3バックのセンター候補なのかな,neutral (0.745),0.745,強く賛成 (0.226),0.226
1722,西野とシティが連携した結果取ったんだよね 期待してくださいって言ってたし信じるぞ,neutral (0.768),0.768,強く反対 (0.238),0.238
1723,それなら上島エドゥ畠中残せよ 何かオーストリア二部でスタッツ良かったりするんか,neutral (0.809),0.809,強く反対 (0.230),0.23
1724,まあ空中戦はめちゃ強かもな,neutral (0.790),0.79,強く反対 (0.216),0.216
1725,唯一W杯全大会に出場して史上最多5回の優勝を誇るサッカー大国ブラジルが2026年北中米W杯南米予選で苦しんでいる 第12節を終了して5勝3分4敗で5位南米枠が45から65に増えたため本大会出場を逃すことはないと思うが6位のパラグアイとは勝ち点差1プレーオフに回る7位のボリビアとは勝ち点差5これ以上の取りこぼしは許されない 2014年地元開催となったブラジル大会でベスト4に進出その準決勝でドイツに17と屈辱的な大敗を喫したその後2018年ロシア大会2022年カタール大会と2大会連続でベスト8敗退今夏に開催されたコパ・アメリア(南米選手権)は決勝トーナメント1回戦(ベスト8)でウルグアイに敗れている ブラジルのW杯優勝は2002年の日韓大会まで遡る必要があるではなぜブラジルのサッカーは低迷したのか それは育成の失敗にあるかつてのブラジル代表選手は国内リーグでブラジルの個人技を生かしたサッカーを身につけ代表に選ばれてからヨーロッパに移籍しただから代表に選ばれてもブラジルのサッカーにすぐに対応できたサッカーが進化していってもブラジルの個人技を残していった ところが近年ヨーロッパの主要クラブが18歳で外国人選手とプロ契約できることから経営難のクラブは育てる余裕がなくなり18歳で選手を売ってしまう国内リーグでも12年しかプレーせずブラジルのサッカーを身につける前にヨーロッパに移籍してしまうのが現状だ そうした若手がフィジカル中心のヨーロッパのサッカーを教え込まれるわけだからブラジル代表に選ばれても伝統のサッカーができるわけがない 将来ブラジル代表を背負っていくであろうレアル・マドリード所属のヴィニシウスロドリゴそして今季からチームメイトに加わったエンドリッキと全ての選手が18歳で契約している今季FCバルセロナと契約したヴィトール・ロケも18歳国内リーグを経験したのは1年か2年だ 現在のブラジル代表メンバーを見てもヨーロッパの所属クラブで欠かすことができない絶対的なエースとして君臨しているのはヴィニシウスぐらいだ他の選手はチームを勝たせるほどの存在感はないしチームのひとつの駒にすぎない 続きはソースで,neutral (0.801),0.801,中立 (0.231),0.231
1726,VARじゃないの,neutral (0.730),0.73,中立 (0.238),0.238
1727,ブラジルはそんなもの関係ないくらい強かっただろw,neutral (0.725),0.725,中立 (0.224),0.224
1728,十年前のミネイロンの悲劇の時点で弱かったろ その後駄目なままなのはオスカルが金に走ったからだろうな まぁアザールが凄すぎて立場失ってたけど コウチーニョも一発屋 ネイマール1人マークしときゃ良いチームになった 強いブラジルには怪物が複数いた パトの早期離脱も痛かったな 遠い昔の選手に感じるけどネイマールオスカルコウチーニョとそれほど変わらずまだ35なんだよな その後はヴィニシウスロドリゴまでの十年もの間1人も怪物候補すら現れず そもそもヨーロッパに早くに渡って活躍した選手なんかいたっけ,neutral (0.838),0.838,強く反対 (0.232),0.232
1729,なんだかんだでネイマールは凄かったんだよな,neutral (0.754),0.754,強く賛成 (0.223),0.223
1730,ネイマールは凄かったがその一昔前ならネイマールクラスが数人いたからな ネイマールが全部背負う必要もなかった,neutral (0.730),0.73,中立 (0.224),0.224
1731,23人で強引に取りに行く中南米サッカー好きよ ユーロよりコパの方が楽しい 熱いし,neutral (0.800),0.8,強く反対 (0.231),0.231
1732,全盛期はロナウドロナウジーニョリバウドロベカルとかが居た2002ワールドカップのチームだな そこからはスター選手が少ないな,neutral (0.763),0.763,強く反対 (0.252),0.252
1733,残念だな ロシア・カタール大会のどちらかで優勝すると予想していたのに ネイマールが決めてクロアチアに勝ったと思っていたのに,neutral (0.761),0.761,強く反対 (0.242),0.242
1734,地球全体じゃなくてブラジルが南米で普通になっちゃった理由でしょ サッカーをやる理由が無いからブラジルの人口が意味を持たなくなった,neutral (0.725),0.725,強く反対 (0.219),0.219
1735,わがままなエースのワンマンチームが実は正解なのかも まあエースの調子が悪くなったら駄目だけど勢い付いたら凄いからね,neutral (0.773),0.773,強く賛成 (0.221),0.221
1736,変化は必要だけど伝統も大事なんだよ 伝統の4バックを捨てて優勝したりして基本スタイルがブレてしまった まぁロベカルとカフーどころかCBのルシオまで攻撃参加しまくって崩壊してたけどさ,neutral (0.735),0.735,中立 (0.235),0.235
1737,そもそもロロコンビの時代頃既にとっくに欧州でカナリアは羽ばたいてなかったっけ,neutral (0.794),0.794,強く賛成 (0.233),0.233
1738,ロナウドは16くらいでオランダ行ってたけどロマーリオは22くらいのようだ,neutral (0.720),0.72,強く賛成 (0.235),0.235
1739,1番大きいのはVARだろうけど ブラジルの個人技が ヨーロッパの戦術に負けたって事もあるだろうな,neutral (0.727),0.727,強く反対 (0.233),0.233
1740,ブラジルと言えば華麗なテクニックや個人技 貧乏な子供たちでも路地裏で黙々と練習してきた賜物 今はそんな子供たちは居ない 日本の相撲取りが居なくなったのと同じ,neutral (0.784),0.784,強く賛成 (0.214),0.214
1741,今は若い時に欧州クラブ移籍して成功すれば 大金手に出来てそこでもう人生ゴールになるから 名誉の為の代表はあんまりモチベが上がらんだろうな,neutral (0.746),0.746,強く反対 (0.242),0.242
1742,現代サッカーは曲芸する暇もないくらい全てが速いからな 良い意味での遊びのサッカーが出来なくなったから弱い,neutral (0.769),0.769,強く反対 (0.222),0.222
1743,アスリート的なフィジカルとチーム戦術ありきの時代に魔法使いみたいな選手がいてもってのは思う まあその魔法使いも今はいないみたいだけど,neutral (0.734),0.734,強く反対 (0.247),0.247
1744,別にアルゼンチンは世界のトップだから南米が弱いとかヨーロッパがどうこうではないんだよな ブラジルだけが弱くなってる原因,neutral (0.751),0.751,強く賛成 (0.227),0.227
1745,ブラジルとアルゼンチンの決定的な違いこそ監督の質だな,neutral (0.736),0.736,強く賛成 (0.243),0.243
1746,アルゼンチン代表のスタッフ陣はレジェンドばかりなのにブラジルは寂しいもんだよね アンダー世代もクラブ監督もそうだし,neutral (0.752),0.752,強く賛成 (0.244),0.244
1747,アルゼンチン人監督は優秀なの揃ってる ビエルサ・ガルネーロ・ロレンソ・スカローニ・シメオネ まだまだいるぞ,neutral (0.723),0.723,強く反対 (0.237),0.237
1748,ポチェも,neutral (0.771),0.771,強く反対 (0.251),0.251
1749,最後の大物と言われたビアンチが失敗した後がブラジルとの差になったのかもな,neutral (0.773),0.773,強く賛成 (0.219),0.219
1750,ブラジルが本気で走れ走れサッカーやればすぐ復権するよ 戦術も個人技も走れ走れサッカーに適応したものになるだろうし でもブラジルの国民性として走れ走れサッカーは好まないだろうし難しいな,neutral (0.743),0.743,強く反対 (0.228),0.228
1751,カタールW杯のブラジル代表メンバー見たら妥当な結果だと思うけど かつてのブラジル代表ならラフィーニャとかパケタとかフレッジとかスタメンで見る格の選手じゃないだろ,neutral (0.675),0.675,強く反対 (0.236),0.236
1752,リシャルリソンがエース扱いとかねーわな,neutral (0.804),0.804,中立 (0.224),0.224
1753,まあ時代やサッカーの変化に着いていけなかったんだろうが最大の劣化は監督だろうな でなんでアルゼンチンとこんなに監督の差があるんだ,neutral (0.718),0.718,強く賛成 (0.241),0.241
1754,今のサッカーは戦術が進化しまくってるから一昔前のブラジル黄金時代も現代では通用しないよ スペースないし個人技放置してもらえないから,neutral (0.754),0.754,強く反対 (0.218),0.218
1755,なんだかんだでブラジルの神童とか言われる選手は 17歳とかでビッグクラブから唾つけられたりするし 枯渇はしてないんじゃない,neutral (0.692),0.692,強く賛成 (0.227),0.227
1756,南米を知らない選手が増えたのは確かに影響してるわな 南米予選見たら明らかに萎縮してる あの殺伐とした雰囲気は欧州にはもう無いし,neutral (0.775),0.775,強く反対 (0.234),0.234
1757,2024年リベルタドーレス決勝 アトレチコ・ミネイロ対ボタフォゴ,neutral (0.852),0.852,強く反対 (0.246),0.246
1758,やっているサッカー自体が欧州となんら変わらなくなってしまってる 後は個々の技量で差を出すんだろうけど世界的にみればその差も無くなってる,neutral (0.751),0.751,強く賛成 (0.225),0.225
1759,ブラジル本国でのビッククラブ人気が思ってる以上に高いのもでかい マーケティング要素も込みでブラジル人の若手を獲るようになったから 要は過大評価されてんだよブラジル人選手は,neutral (0.747),0.747,強く賛成 (0.226),0.226
1760,逆でしょ 世界のサッカーの進歩に取り残された プライドが高過ぎるが故に まともな監督がいないのがその証拠 ブラジルの監督は今やJリーグですら通用しない 指導者がそのレベルなんだから推して知るべし,neutral (0.753),0.753,強く賛成 (0.248),0.248
1761,バッシングが酷すぎて監督になるのは罰ゲームみたいになってるんだよ 最近やっとフィリペルイスが監督になったくらいで他に誰もやりたがらない,neutral (0.740),0.74,強く賛成 (0.244),0.244
1762,割とマジでスマホのせいだろ 今や最貧国のガキですらスマホでティックトックみてるからな スポーツが金持ちの娯楽になった,neutral (0.695),0.695,中立 (0.227),0.227
1763,自国W杯でドイツに虐殺されたのが10年前か あんな地獄絵図見せられればトラウマにもなろうで,neutral (0.734),0.734,中立 (0.229),0.229
1764,ミネイロンの惨劇懐かしいな マラカナンの悲劇に続くブラジルサッカー史上2番目のトラウマ,neutral (0.732),0.732,強く反対 (0.245),0.245
1765,自国開催で優勝目指してるなかの 大一番であんな一方的虐殺ショーを 世界中に公開されたら ブラジル人じゃなくても戦慄覚えるわ ブラジル国内の惨状凄かったそうじゃないか,neutral (0.769),0.769,強く賛成 (0.217),0.217
1766,余程トラウマだったのだろう 日本がW杯でドイツに勝った時にブラジル人が大喜びしてた おまえらよっわwwwだっせえwwwってドイツ人を煽ってた それを見ていたアルゼンチン人がおまえら日本より弱いってことやんwwwって言ったらブラジル人が発狂してた,neutral (0.726),0.726,強く賛成 (0.241),0.241
1767,走りまくるブラジルもなんか違うよな 走りまくってる相手を嘲笑うサッカーが見たいけどもう無理なんやろな,neutral (0.722),0.722,強く反対 (0.223),0.223
1768,VARより5人交代だろ相手側の,neutral (0.800),0.8,強く反対 (0.223),0.223
1769,全然違うぞ かつてはデコボコの地面でみんなサッカーやってたから自然とボールコントロールが上手くなっていった でも今は舗装されてるしクラブでも芝のフィールド だからテクニックがある選手が昔より減ってんだよ,neutral (0.741),0.741,強く反対 (0.219),0.219
1770,ブラジルは下のカテゴリだと芝でも デコボコでどろんこピッチとか未だにある,neutral (0.751),0.751,中立 (0.229),0.229
1771,ブラジルも心機一転外国人監督にすりゃいいのに プライドが邪魔するんだろうな,neutral (0.758),0.758,強く反対 (0.229),0.229
1772,とは言えやりたい外国人がいるかな,neutral (0.783),0.783,中立 (0.237),0.237
1773,アンチェロッティの噂あったけど結局ドリヴァウ・ジュニオールになった でも彼はブラジル国内での監督経験しかないんだよ,neutral (0.710),0.71,強く賛成 (0.254),0.254
1774,アンチェも数年前のネイマやフィルミコウチとかが最盛期で揃い踏みしてた頃ならまだしも今のヴィニロドリゴパケタとかの面々だと厳しいわな ブラジル人監督にロクなのいないのは分かるがそもそものタレント不足と連動してるからね,neutral (0.781),0.781,強く賛成 (0.245),0.245
1775,この10年くらいで戦術も選手の必要とされる能力も 蹴った時のボールの伸びも大きく変わったじゃん 個人技や発想はあくまでアクセントでそれ頼みの戦術は通用しなくなっただけでしょ,neutral (0.721),0.721,強く賛成 (0.239),0.239
1776,ブラジル人特有のサッカー好きの足技が減ってきてるよな エンドリッキにしてもスマートになってるつうか ロナウジーニョやネイマールみたいのはもう出てきてないね,neutral (0.743),0.743,強く反対 (0.224),0.224
1777,ヨーロッパの育成と戦術が進化しすぎて才能だけで戦ってきたブラジルが太刀打ちできなくなっただけでしょ プロ意識も低い選手多いからなかなか規律重視のトップクラブに取ってもらえねぇし,neutral (0.712),0.712,強く賛成 (0.227),0.227
1778,欧州勢が強くなったというのもある 前回のワールドカップではクロアチアに力負けしてるし 相手がドイツやフランスやイタリアならともかくブラジルがスペインやクロアチアやベルギーに大苦戦するなんて昔はなかった,neutral (0.745),0.745,中立 (0.231),0.231
1779,欧州勢がテクニックある選手が増えたと言うのはあるよな ブラジルの選手は周り見ないでドリブルする自己中が多いからそんな選手今の時代活躍無理だし,neutral (0.795),0.795,強く反対 (0.236),0.236
1780,FWもだけど中盤がアルゼンチンとはだいぶ差があると思う アルゼンチンは中盤にマクアリエンソデパウルロチェルソパラシオスとかいてここに若手有望株のニコ・パスも加わるだろうからバランスいいが ブラジルはギマランイスパケタジェルソンアンドレジョアンゴメスとか強度は高いけど創造性には欠ける,neutral (0.715),0.715,強く反対 (0.225),0.225
1781,個人技でどうこうするサッカーじゃなくなったからだろ 攻撃の選手も守備が下手だとお荷物になるからな,neutral (0.766),0.766,強く反対 (0.242),0.242
1782,テクニックや近寄れない格みたいなのを合理的に潰せるようになったからじゃないの 逆に言えば昔が良いって言われてる魅力の部分はそこ,neutral (0.752),0.752,強く反対 (0.227),0.227
1783,黄金期から比べればタレントは数段落ちるとはいえ 未だにプレミア中堅の主力になるくらいの選手は沢山揃ってる それなりの外人監督ならベスト4には何回か入っててもおかしくはない,neutral (0.818),0.818,強く賛成 (0.252),0.252
1784,ブラジル国民・マスコミ・関係者がプレッシャー与えすぎなんだよ 中堅以下の国相手には舐めプリラックスして楽勝 優勝候補相手にはガチガチになってほぼ全敗 2006年以降W杯でpot1(もしくはそこに勝った)相手に1勝6敗だぞ 日本より勝率悪い,neutral (0.824),0.824,強く反対 (0.221),0.221
1785,今だと有望な若手はそれこそ10代の頃に引き抜かれちゃうからなあ で名前が出た面々も本来ならもう23年母国でプレーして ブラジル人らしさを身に着けてから渡欧した方がよかったように思える,neutral (0.723),0.723,強く賛成 (0.236),0.236
1786,コパ見たら普通に弱かったな 上手いのはヴィニだけで他は大したことない上にアルゼンチンやコロンビアのような獰猛な守備を見せることもない 言うほどヨーロッパ的でもなくただ怠惰なだけ,neutral (0.711),0.711,強く賛成 (0.239),0.239
1787,アルヘンやウルグアイコロンビアチリとか他の南米国はバルサやシティみたいなシステマチックなサッカーをやれる土壌あるけどブラジルはそんな戦術よりタレントを生かすレアル的なサッカー好まれるから今更そんなサッカー出来ないってのが本音だろ 仮に戦術や組織的なサッカーしても今の欧州や他の南米の方がより強いしね,neutral (0.719),0.719,強く反対 (0.228),0.228
1788,ブラジルはまただんだんタレント揃ってきたから まともな監督ならまた準決辺りまで行けるだろう上手くかみ合えば優勝も無理ではない,neutral (0.721),0.721,強く賛成 (0.229),0.229
1789,あと1週間で延長まとまらなかったらサラー アーノルド ファンダイクの誰かがいなくなっちゃう可能性あるのか サウジがチーム買ってくれるとかいう話も立ち消えたしケチケチオーナーだからちょっと怖くなってきたな 経営手腕は素晴らしいんだろうけどケチ過ぎるんだよな,neutral (0.772),0.772,強く賛成 (0.248),0.248
1790,アーノルドはフロントにレアルに行きたいと伝えたそうだ ダイクとサラーは残留濃厚,neutral (0.723),0.723,強く賛成 (0.252),0.252
1791,スペイン紙の情報は一切信用しなくていい とりあえずダニオルモがフリーになるそうだがさすがに狙わんか,neutral (0.748),0.748,強く賛成 (0.238),0.238
1792,ロマーノが自分のアーノルドは特に意思表示してないって投稿をさっきリポストしてるからマルカの記事を否定してると見ていいのか,neutral (0.743),0.743,強く賛成 (0.246),0.246
1793,FSGのケチっぷりではアーノルドが仮に移籍しても文句言えないなぁ,neutral (0.689),0.689,強く反対 (0.245),0.245
1794,カルバハルが1年は離脱確定だからマドリードがアーノルドを欲しがってるってところだろうなあ,neutral (0.771),0.771,強く賛成 (0.231),0.231
1795,まぁアーノルドは残るでしょ 6歳から所属してて課題だった守備面も修正してくれたチームを裏切るわけがない,neutral (0.713),0.713,強く反対 (0.245),0.245
1796,アーノルドはいつまでもリヴァプールの赤と自分のインスタストーリーで示唆しているからな,neutral (0.745),0.745,強く反対 (0.230),0.23
1797,アーノルドがインタビューとか何も答えてないのに年俸望んでるとか序列求めてるとか本人の得体の知れない意見出ても全部妄想だからな 残るだろうよ,neutral (0.749),0.749,強く反対 (0.230),0.23
1798,リバプール側の有力記者から出てきたらあれだけど誰も呟いてないからなw,neutral (0.759),0.759,中立 (0.230),0.23
1799,アーノルド話かなり進んでてもう来夏確定っぽいな,neutral (0.789),0.789,強く反対 (0.237),0.237
1800,契約延長はどうせ決まるのは1月2月になったら焦れと言ったろ,neutral (0.721),0.721,強く賛成 (0.245),0.245
1801,リヴァプールの有力なとこがなんも言ってなくてレアルの情報垢だけ必死に言ってるのがもう察するよね そしてアーノルド本人も何も言わずリヴァプールにだけ関わっているあたりもうリヴァプール一筋,neutral (0.765),0.765,強く反対 (0.245),0.245
1802,そうなの マルカの情報はガセならいいけど,neutral (0.785),0.785,中立 (0.224),0.224
1803,スペイン系のメディアは自分たちの願望を書くこと多いマルカ然りムンドデポルティーヴォ然り多分揺さぶり記事だと思うよ,neutral (0.742),0.742,強く賛成 (0.230),0.23
1804,マドリーの右SBは離脱中の32歳カルバハルと33歳のバスケスだからな アーノルドが移籍するタイミングとしては絶好か,neutral (0.736),0.736,強く賛成 (0.226),0.226
1805,移籍するにしてもフリーはダメだろ それこそ1番の裏切りなんじゃないか,neutral (0.689),0.689,強く反対 (0.233),0.233
1806,フリーの方が遺恨がないかもしれないけどクラブとしては移籍金残してくれたほうがいい,neutral (0.720),0.72,強く反対 (0.242),0.242
1807,フリーとかありえねえ 移籍するにしても金残していくのがクラブへの恩返しだろ,neutral (0.699),0.699,強く賛成 (0.236),0.236
1808,アザールはリールからチェルシーに移籍する時直前に契約延長して移籍金残していったからな ダイクサラーみたいなベテランの功労者は本人を尊重してフリーでもいいけど26歳のアーノルドはこれくらいのことくらいはしてくれ,neutral (0.769),0.769,強く反対 (0.230),0.23
1809,ディアスのCF覚醒 アーノルドの守備向上 ガクポの得点力増加 元々あったポテンシャルがガンガン引き出されていく素晴らしさ,neutral (0.733),0.733,強く反対 (0.223),0.223
1810,アーノルドは元々言うほど守備酷くなかったんだけどなあ 急に体デカくなったからその影響で12年キレが少し落ちて付いていけなくなってたんだと思ってるわ,neutral (0.758),0.758,強く反対 (0.237),0.237
1811,昨季のアーノルドは特に酷かった 下手とかじゃなくて守る気すらなかった,neutral (0.665),0.665,強く反対 (0.251),0.251
1812,アーノルドはある時いきなり体ゴツくなったよな それは覚えてるわ,neutral (0.771),0.771,強く反対 (0.228),0.228
1813,アーノルドはトップ定着した頃は散々ワンクラブマンになりたいリバプールのキャプテンになりたい言ってのでなんだかなぁ レアル行きたいなら行けばいいと思うが周囲からはすげぇ止められてそう,neutral (0.729),0.729,強く反対 (0.231),0.231
1814,信憑性はあれだけどイギリス方面からもレアル行きの話出だしたな もし本当に延長しないでフリーで出ていく気ならブラッドリー優先で使って半年ベンチだな,neutral (0.790),0.79,強く賛成 (0.240),0.24
1815,ロマーノが何も無いって否定してるよ,neutral (0.741),0.741,中立 (0.225),0.225
1816,移籍するにしてもお金残して出ていってくれよ,neutral (0.740),0.74,強く反対 (0.258),0.258
1817,アルテタ曰くサカはハムの手術して2か月以上かかるそうです・・・ 去年のトーマスは4か月で戻ってきたけどWGの補強必須だな,neutral (0.720),0.72,強く反対 (0.234),0.234
1818,サカ戻ってくる時期的に勝負かけるならCLの方が現実的かな もちろんリーグを諦めるなんてあり得ないけど,neutral (0.775),0.775,強く賛成 (0.220),0.22
1819,サカ手術したんかい 34ヶ月離脱となると即戦力取りに行くか,neutral (0.721),0.721,強く反対 (0.220),0.22
1820,サカ手術回避出来そうって初期の所見は希望的すぎたか 結局手術必要なグレードだったのね,neutral (0.735),0.735,中立 (0.234),0.234
1821,ウイング足りなすぎて飴が羨ましい この際ムドリクでもええからレンタルさせてくれ,neutral (0.793),0.793,強く賛成 (0.219),0.219
1822,サカはほぼシーズンアウトだなぁ これはきつすぎる,neutral (0.730),0.73,強く反対 (0.220),0.22
1823,とりあえずブライトンのアディングラをレンタルで半年貸して貰おう あそこウイング余ってるから貸してくれるだろ,neutral (0.747),0.747,強く反対 (0.228),0.228
1824,ほぼほぼサカシーズンアウト決定は厳しいな かと言ってスカウティングしてて冬に取れるウイングいるのかな もうこうなったらシェシュコに来てもらってジェズスを右に回すしか,neutral (0.716),0.716,中立 (0.221),0.221
